customer id,customer name,date of birth,address,zip,phone,email,Gender
12745072,James Butt ,09-11-1993,"6649 N Blue Gum St,New Orleans,LA,Orleans,US",508787,7789769288,jbutt@gmail.com,M
12316185,Josephine Darakjy ,21-02-1992,"4 B Blue Ridge Blvd,Brighton,MI,Livingston,US",566536,8986590919,josephine_darakjy@darakjy.org,M
12898602,Art Venere ,04-11-1994,"8 W Cerritos Ave #54,Bridgeport,NJ,Gloucester,US",187615,8287235877,art@venere.org,F
12461298,Lenna Paprocki ,07-08-1980,"639 Main St,Anchorage,AK,Anchorage,US",642499,9714897303,lpaprocki@hotmail.com,F
12421784,Donette Foller ,21-09-1996,"34 Center St,Hamilton,OH,Butler,US",899096,9038887381,donette.foller@cox.net,M
12359474,Simona Morasca ,10-12-1985,"3 Mcauley Dr,Ashland,OH,Ashland,US",840351,7066151309,simona@morasca.com,F
12225842,Mitsue Tollner ,08-01-1988,"7 Eads St,Chicago,IL,Cook,US",614015,7021281354,mitsue_tollner@yahoo.com,F
12205357,Leota Dilliard ,20-07-1984,"7 W Jackson Blvd,San Jose,CA,Santa Clara,US",691137,9087427085,leota@hotmail.com,F
12011276,Sage Wieser ,22-12-1994,"5 Boston Ave #88,Sioux Falls,SD,Minnehaha,US",852040,8363858808,sage_wieser@cox.net,M
12137591,Kris Marrier ,28-09-1982,"228 Runamuck Pl #2808,Baltimore,MD,Baltimore City,US",715320,7830053723,kris@gmail.com,M
12709588,Minna Amigon ,06-06-1995,"2371 Jerrold Ave,Kulpsville,PA,Montgomery,US",695274,9184803553,minna_amigon@yahoo.com,F
12788670,Abel Maclead ,25-06-1998,"37275 St  Rt 17m M,Middle Island,NY,Suffolk,US",699061,8188340574,amaclead@gmail.com,M
12470876,Kiley Caldarera ,15-06-1991,"25 E 75th St #69,Los Angeles,CA,Los Angeles,US",214906,8437456150,kiley.caldarera@aol.com,M
12765878,Graciela Ruta ,05-10-1989,"98 Connecticut Ave Nw,Chagrin Falls,OH,Geauga,US",436612,8689955553,gruta@cox.net,F
12317969,Cammy Albares ,08-04-1994,"56 E Morehead St,Laredo,TX,Webb,US",707262,7656931547,calbares@gmail.com,F
12148197,Mattie Poquette ,21-08-1995,"73 State Road 434 E,Phoenix,AZ,Maricopa,US",659843,8178097495,mattie@aol.com,M
12987967,Meaghan Garufi ,05-08-1999,"69734 E Carrillo St,Mc Minnville,TN,Warren,US",538485,8145398124,meaghan@hotmail.com,M
12332195,Gladys Rim ,29-08-1993,"322 New Horizon Blvd,Milwaukee,WI,Milwaukee",228710,7861760425,gladys.rim@rim.org,M
12902848,Yuki Whobrey ,23-04-1987,"1 State Route 27,Taylor,MI,Wayne,US",979772,9402630047,yuki_whobrey@aol.com,M
12882306,Fletcher Flosi ,26-11-1989,"394 Manchester Blvd,Rockford,IL,Winnebago,US",733621,7691407659,fletcher.flosi@yahoo.com,M
12055438,Bette Nicka ,03-01-1985,"6 S 33rd St,Aston,PA,Delaware,US",255928,7071519550,bette_nicka@cox.net,M
12506963,Veronika Inouye ,20-11-1991,"address,city,state,county,US",570350,7233468891,vinouye@aol.com,F
12113812,Willard Kolmetz ,05-10-1994,"6649 N Blue Gum St,New Orleans,LA,Orleans,US",570947,9776308609,willard@hotmail.com,M
12896684,Maryann Royster ,09-10-1981,"4 B Blue Ridge Blvd,Brighton,MI,Livingston,US",197579,9514557850,mroyster@royster.com,M
12609183,Alisha Slusarski ,17-11-1985,"8 W Cerritos Ave #54,Bridgeport,NJ,Gloucester,US",202938,9162546793,alisha@slusarski.com,F
12937003,Allene Iturbide ,08-05-1981,"639 Main St,Anchorage,AK,Anchorage,US",823623,7723064456,allene_iturbide@cox.net,M
12743613,Chanel Caudy ,02-09-1985,"34 Center St,Hamilton,OH,Butler,US",643256,7234036130,chanel.caudy@caudy.org,M
12367787,Ezekiel Chui ,20-07-1987,"3 Mcauley Dr,Ashland,OH,Ashland,US",710617,7808504413,ezekiel@chui.com,M
12899437,Willow Kusko ,22-08-1990,"7 Eads St,Chicago,IL,Cook,US",400410,7808687195,wkusko@yahoo.com,M
12812200,Dyan Oldroyd,26-08-1982,"7219 Woodfield Rd,Overland Park,Johnson,KS,US",471060,8142011210,doldroyd@aol.com,F
